commit	metric	status	description
baseline_uc120	1.86281828	ok	uncompiled 4090 proxy baseline; warmdown scaled to ~10 steps; step:147/999999 val_loss:3.1428 val_bpb:1.8613 train_time:120425ms step_avg:819.22ms
stack11_uc120	2.14925712	ok	11L 3x MLP plus lr/muon/clip stack; warmdown scaled to ~50 steps; step:104/999999 val_loss:3.6260 val_bpb:2.1475 train_time:120821ms step_avg:1161.74ms
stack11_leaky_uc120	2.14415346	ok	stack11 plus LeakyReLU(0.5)^2 and longer warmdown (~60 steps); step:104/999999 val_loss:3.6172 val_bpb:2.1423 train_time:120978ms step_avg:1163.25ms
stack11_leaky_rope16_ln_uc120	2.35934594	ok	stack11_leaky plus Partial RoPE 16 and LN scale; step:103/999999 val_loss:3.9820 val_bpb:2.3584 train_time:120450ms step_avg:1169.42ms
baseline_leaky_uc120	1.84941753	ok	9L baseline plus LeakyReLU(0.5)^2; step:147/999999 val_loss:3.1204 val_bpb:1.8481 train_time:120434ms step_avg:819.28ms
baseline_leaky_wd60_uc120	1.88089542	ok	9L baseline plus LeakyReLU(0.5)^2 and longer warmdown; step:147/999999 val_loss:3.1728 val_bpb:1.8791 train_time:120456ms step_avg:819.43ms
baseline_leaky_ema099_uc120	2.21841035	ok	9L leaky baseline plus EMA decay 0.99 from step 50; step:147/999999 val_loss:3.1170 val_bpb:1.8461 train_time:120357ms step_avg:818.76ms
baseline_leaky_ema0995_uc120	2.35862613	ok	9L leaky baseline plus EMA decay 0.995 from step 50; step:147/999999 val_loss:3.1201 val_bpb:1.8479 train_time:120547ms step_avg:820.05ms
baseline_leaky_ema0997_uc120	2.41271584	ok	9L leaky baseline plus EMA decay 0.997 from step 50; step:147/999999 val_loss:3.1199 val_bpb:1.8478 train_time:120727ms step_avg:821.27ms
baseline_leaky_s04_uc120	1.85137710	ok	9L leaky baseline with slope 0.4; step:147/999999 val_loss:3.1238 val_bpb:1.8501 train_time:120396ms step_avg:819.02ms
baseline_leaky_s06_uc120	1.84945947	ok	9L leaky baseline with slope 0.6; step:147/999999 val_loss:3.1204 val_bpb:1.8481 train_time:120630ms step_avg:820.61ms
baseline_leaky_qat085_uc120	1.88687874	ok	9L leaky baseline plus late QAT from 85% wallclock; step:146/999999 val_loss:3.1859 val_bpb:1.8869 train_time:120419ms step_avg:824.78ms
