iteration	timestamp	model	run_id	decision	commit	summary	findings
1	2026-03-19T20:07:22+00:00	gpt-5.4	pgolf_0001	keep	76959e3c0a42e01be1e2f2b8be103518f8002a82	Bootstrap baseline run is trustworthy and usable as the initial reference metric.	Remote log shows a clean run on commit 76959e3c0a42e01be1e2f2b8be103518f8002a82 with stable completion under the 600s wallclock cap, exact final metric lines (val_bpb=2.34674946 val_loss=3.96238816), and matching submission size (7013200 bytes). No candidate patch was applied, which is correct for a baseline run. results.tsv and reviews.tsv are empty because this is the first bootstrap baseline. failure.json is stale/inconsistent and cites an older commit plus a missing-metric error that is contradicted by remote_logs/pgolf_0001.log; this appears to be controller bookkeeping noise rather than evidence that the run itself is invalid.
2	2026-03-19T20:45:32+00:00	gpt-5.4	pgolf_0002	revert	a7df7b7813268827ec2c2e6efba191a1f7422016	Revert: the observed metric gain is not trustworthy enough to keep because this scheduler-only patch ran far more measured steps within the same 600s budget than the prior kept baseline, so the comparison is materially confounded.	Remote log confirms commit a7df7b7813268827ec2c2e6efba191a1f7422016 with LR_WARMUP_STEPS=100 and a clean final metric line plus matching size_bytes=8325673, but the run reached step 355 at 600.9s while the kept baseline only reached step 160 at 600.4s under the same nominal budget and batch settings. That 2.2x throughput jump is not credibly explained by adding a learning-rate warmup multiplier, so the large val_bpb improvement from 2.34674946 to 1.60050317 is not an apples-to-apples result and is likely dominated by cache/warm-state or harness effects rather than the claimed algorithmic change. The early-loss pattern does match the hypothesis qualitatively, but because wallclock-limited training length changed so drastically, the evidence is insufficient to retain the commit. The stale failure.json is inconsistent with the actual successful log and looks like controller bookkeeping noise, not the reason for revert.
3	2026-03-19T21:22:20+00:00	gpt-5.4	pgolf_0003	keep	a78be055eb9f412001d1dc9f276931ebdb9997e4	Keep: this run shows a large, trustworthy export-quality improvement over the best prior kept result, with final_int8_zlib_roundtrip_exact val_bpb improving from 2.34674946 to 1.59717652 and val_loss improving from 3.96238816 to 2.69676566 while staying within the size cap at 10518135 bytes.	The remote log cleanly matches experiment commit a78be055eb9f412001d1dc9f276931ebdb9997e4 and the intended env override INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight. Unlike the confounded scheduler run in pgolf_0002, this run reached step 356 at 600273ms versus step 355 at 600907ms in pgolf_0002, so training throughput is effectively unchanged and the comparison is not explained by extra wallclock-limited optimization. The patch is a narrow export-only change in quantize_state_dict_int8, and the serialized payload increase is exactly 1175040 bytes, which is 9 x 130560 bytes and therefore matches the pre-review expectation for preserving exactly nine c_v.weight tensors in fp16 rather than a broader unintended match. The final exact round-trip metric is slightly better than pgolf_0002 as well (val_bpb 1.59717652 vs 1.60050317) despite nearly identical training progress, which is the expected signature of a quantization/export improvement. failure.json in the run manifest is stale controller noise and contradicts the successful remote log, as in prior iterations, so it should not be treated as evidence against the run.
4	2026-03-19T21:37:34+00:00	gpt-5.4	pgolf_0004	revert	f540c8d47b3c258af0c7f9fe327fd0d131d5d735	Revert: this run appears trustworthy, but it does not improve on the best prior kept result. The final exact round-trip metric regressed from 1.59717652 to 1.59981867 val_bpb and from 2.69676566 to 2.70122682 val_loss, so the change should not be kept on metric quality grounds.	The remote log cleanly matches experiment commit f540c8d47b3c258af0c7f9fe327fd0d131d5d735 with the intended env override INT8_CLIP_PERCENTILE_OVERRIDES=.attn.proj.weight:99.99995, and the serializer reports clip_override_tensors:9 exactly as hypothesized. Trustworthiness looks good: the run reached step 356 at 600924ms, essentially identical training progress to the kept export-only prior pgolf_0003, so the comparison is not explained by extra optimization time or a harness mismatch. Submission size dropped to 9052147 bytes from 10518135 bytes in pgolf_0003, confirming the intended benefit of staying int8 instead of preserving tensors in fp16, but the metric outcome is still worse than the best kept result by about 0.00264 val_bpb and 0.00446 val_loss. Because the result is a modest but real regression on the primary quality metric and the remaining size headroom was already ample, this does not meet the bar for a clearly worthwhile retained change. As in prior iterations, failure.json is stale controller noise and contradicts the successful remote log plus metrics.json, so it should not be treated as evidence against the run.
5	2026-03-19T21:53:38+00:00	gpt-5.4	pgolf_0005	revert	78d09bcdc787380c998c5e4fed07031a582ddd32	Revert: this export-only run appears trustworthy, but it does not improve on the best prior kept result. The exact final round-trip metric is marginally worse than pgolf_0003, with val_bpb moving from 1.59717652 to 1.59717773 and val_loss from 2.69676566 to 2.69676769, so it does not clear the bar for retention.	The remote log cleanly matches experiment commit 78d09bcdc787380c998c5e4fed07031a582ddd32 and the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_FP32_SCALE_NAME_PATTERNS=tok_emb.weight. Trustworthiness looks good: because this is an export-only ablation, training progress should match the kept prior, and it does, reaching step 356 at 601087ms versus step 356 at 600273ms in pgolf_0003, so the result is not explained by extra optimization time or a harness mismatch. Size also stayed essentially flat, dropping slightly from 10518135 to 10515314 bytes, which is small enough to treat as serialization or compression variance rather than a meaningful payload change. The hypothesis was that fp32 tok_emb.weight scales would reduce remaining round-trip error at negligible byte cost, but the observed exact metric moved in the wrong direction, albeit by only about 0.00000121 val_bpb. Given the instruction to keep only real improvements or clearly worthwhile retained changes, this tiny regression is not enough to keep the commit. As in prior iterations, failure.json is stale controller bookkeeping noise that contradicts the successful remote log and metrics.json, so it should not be treated as evidence against the run itself.
6	2026-03-19T22:08:47+00:00	gpt-5.4	pgolf_0006	revert	bebff8af3933aedb89a0975655e0ce1bcf363fb8	Revert: this export-only run appears trustworthy, but it does not improve on the best prior kept result. The final exact round-trip metric regressed from 1.59717652 to 1.59771380 val_bpb and from 2.69676566 to 2.69767282 val_loss, so the change should not be kept on metric quality grounds.	The remote log cleanly matches experiment commit bebff8af3933aedb89a0975655e0ce1bcf363fb8 with the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_FP32_SCALE_NAME_PATTERNS=.attn.proj.weight, and the serializer reports the expected Int8 scale storage fp32_tensors:9 and fp32_bytes:18432 from pre-review. Trustworthiness looks good: because this is an export-only ablation, training progress should stay in-family with pgolf_0003, and it does, reaching step 356 at 600616ms versus step 356 at 600273ms in the kept prior, so the comparison is not explained by extra optimization time or a harness mismatch. Submission size also stayed essentially flat, moving from 10518135 bytes in pgolf_0003 to 10516481 bytes here, which is negligible and does not offset the worse exact final metric. The hypothesis was that fp32 per-row scales for the 9 attn.proj.weight tensors would reduce remaining round-trip error at near-zero byte cost, but the observed exact metric moved the wrong way by about 0.00053728 val_bpb and 0.00090716 val_loss. As in prior runs, failure.json is stale controller bookkeeping noise and contradicts the successful remote log and metrics.json, so it should not be treated as evidence against the run itself.
7	2026-03-19T22:32:09+00:00	gpt-5.4	pgolf_0007	revert	a0b1e4ba97b99cabf94bcdbcc6d03ae4883570c6	Revert: the run looks trustworthy, but it regresses the best prior kept result on the primary exact round-trip metric. Against kept pgolf_0003, final_int8_zlib_roundtrip_exact moved from val_bpb 1.59717652 / val_loss 2.69676566 at 10518135 bytes to val_bpb 1.59829596 / val_loss 2.69865577 at 10589129 bytes, so this row-rescue sidecar is not a real improvement worth keeping.	The remote log cleanly matches experiment commit a0b1e4ba97b99cabf94bcdbcc6d03ae4883570c6 with the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_ROW_RESCUE_NAME_PATTERNS=.attn.proj.weight INT8_ROW_RESCUE_TOPK=8. The serializer produced the expected validation signal Int8 row rescue: tensors:9 rows:72 payload_bytes:73872 topk:8, so the implementation appears to have targeted the intended 9 attention projection tensors and added the expected small sidecar. Trustworthiness is good overall because this is an export-only ablation and training progress stayed in-family with the kept pgolf_0003 baseline: pgolf_0007 stopped at step 355 / 600316ms versus pgolf_0003 at step 356 / 600273ms, which is close enough that the comparison is not explained by extra optimization time or harness drift. Despite that, the final exact metric is worse in both fields and size also increased by 70994 bytes, so the observed outcome falsifies the hypothesis rather than providing a clearly worthwhile tradeoff. The stale failure.json in the run manifest incorrectly claims a missing final metric line and cites baseline metadata, but it is contradicted by remote_logs/pgolf_0007.log and metrics.json and should be treated as controller bookkeeping noise, not as evidence against the run itself.
8	2026-03-19T23:00:30+00:00	gpt-5.4	pgolf_0008	error	9786a0d65516d2b6e606aa4cdf06ca45659898ca	experiment failed	missing final metric line in /root/parameter-golf/remote_logs/pgolf_0008.log
9	2026-03-19T23:21:44+00:00	gpt-5.4	pgolf_0009	keep	9c2d2fe20ac81d1610f990f9d745677005463791	Keep: this export-only run appears trustworthy and delivers a real improvement over the best prior kept result. final_int8_zlib_roundtrip_exact improved from val_bpb 1.59717652 / val_loss 2.69676566 in pgolf_0003 to val_bpb 1.59373798 / val_loss 2.69095981 here, while remaining well under the size cap at 10891835 bytes.	The remote log cleanly matches experiment commit 9c2d2fe20ac81d1610f990f9d745677005463791 with the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_AUTO_KEEP_FLOAT_NAME_PATTERNS=tok_emb.weight,.attn.proj.weight. Trustworthiness is good: this is a serializer-only ablation and training progress stayed effectively identical to the kept pgolf_0003 baseline, reaching step 356 at 600874ms versus step 356 at 600273ms in pgolf_0003, so the better result is not explained by extra wallclock-limited optimization or a harness mismatch. The required selector audit signals are present and internally consistent: Int8 auto-keep selector logged candidates:10, selected:blocks.0.attn.proj.weight, and a positive estimated_gain:0.16920036; Int8 auto-keep bytes logged large_tensors:9, selected_tensors:1, and selected_extra_payload:261120, which is consistent with rescuing exactly one additional tensor on top of the existing nine c_v.weight passthrough tensors. The final exact round-trip metric improved by 0.00343854 val_bpb and 0.00580585 val_loss versus the best prior kept run, which is materially larger than the near-zero deltas seen in recent reverted export-only ablations, while the size increase of 373700 bytes versus pgolf_0003 is modest and still leaves ample headroom under the 16000000-byte cap. As in prior iterations, failure.json in the run manifest is stale controller bookkeeping noise that incorrectly reports a missing final metric line and baseline metadata; it is contradicted by remote_logs/pgolf_0009.log and metrics.json and should not be treated as evidence against the run.
10	2026-03-19T23:48:28+00:00	gpt-5.4	pgolf_0010	revert	22db439eebe0e70ed930b16da93ba87a16681dab	Revert: pgolf_0010 looks trustworthy, but it does not improve on the best prior kept result. Against kept pgolf_0009, final_int8_zlib_roundtrip_exact regressed from val_bpb 1.59373798 / val_loss 2.69095981 at 10891835 bytes to val_bpb 1.59591532 / val_loss 2.69463617 at 11260966 bytes, so this top-k auto-keep expansion is not a worthwhile retained change.	The remote log cleanly matches experiment commit 22db439eebe0e70ed930b16da93ba87a16681dab and the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_AUTO_KEEP_FLOAT_NAME_PATTERNS=tok_emb.weight,.attn.proj.weight INT8_AUTO_KEEP_FLOAT_TOPK=2. Trustworthiness is good: this is still a serializer-only ablation and training progress stayed in-family with the kept pgolf_0009 run, stopping at step 355 / 601577ms versus step 356 / 600874ms in pgolf_0009, so the worse result is not explained by extra optimization time or a harness mismatch. The new audit signals also match the hypothesis mechanically: Int8 auto-keep selector logged candidates:10, topk:2, selected_tensors:2, and selected names blocks.0.attn.proj.weight,blocks.1.attn.proj.weight, while Int8 auto-keep bytes logged selected_extra_payload:522240, exactly consistent with two added passthrough tensors over their quantized payloads. But the outcome moved the wrong way on both primary metrics, with val_bpb worsening by 0.00217734 and val_loss by 0.00367636 versus pgolf_0009, while size also increased by 369131 bytes. That combination falsifies the hypothesis rather than showing a real improvement worth keeping.
